time_s,channel,id,dlc,data
3.596633,A,0x370,8,91FF080320152265
3.596747,A,0x051,3,6B620A
3.596768,B,0x288,8,031154408000F4A6
3.596773,B,0x3A2,8,0100300000D0AA00
3.596778,B,0x201,8,003F3C00006436FE
3.597403,B,0x545,8,02000D0000001069
3.598508,A,0x567,8,0500128800A02401
3.598528,B,0x79F,1,41
3.598533,B,0x41D,1,00
3.598538,B,0x21D,8,0400350000000000
3.598543,B,0x75D,8,529DAC71C0D67440
3.599403,B,0x25D,8,3641012A04F00000
3.600509,A,0x35B,5,EEE90300A4
3.600618,A,0x409,1,00
3.600639,B,0x132,6,968CF0FF1C40
3.600644,B,0x3A3,8,0CD000005806280C
3.600649,B,0x409,1,00
3.600654,B,0x118,8,026F320000480000
3.600661,B,0x266,8,0000012200008801
3.600666,B,0x2E8,8,021100000E8020AB
3.601513,A,0x118,8,026F320000480000
3.601639,A,0x131,8,2600FB7F00402537
3.601661,B,0x257,8,72481F0002A00F01
3.601666,B,0x1D8,8,2900000000002022
3.601671,B,0x439,8,0000000000382201
3.601676,B,0x1E5,8,02AC0400000020B8
3.602595,A,0x111,8,3A0089FF0100976C
3.602722,A,0x141,8,2700D0FF01002760
3.602847,A,0x129,8,C5201C200020FF3F
3.602867,B,0x129,8,C5201C200020FF3F
3.602872,B,0x798,8,050000000000E091
3.603510,A,0x175,8,000000000000A016
3.603635,A,0x185,8,000000000000A42A
3.603761,A,0x261,8,3118C8FF1D4B1AC0
3.603781,B,0x261,8,3118C8FF1D4B1AC0
3.603786,B,0x3A1,8,E44E00CA0068C2E6
3.603791,B,0x211,6,9715710D00F1
3.604508,A,0x103,8,22B34804B23A2132
3.604633,A,0x2B9,8,140050A778BA978F
3.604654,B,0x263,8,D97D8D0EB84F1F1F
3.604659,B,0x3A8,8,004D007F00000000
3.604664,B,0x3C2,8,2955000000000080
3.604669,B,0x474,5,4F8EFCFF03
3.605508,A,0x3C2,8,2955000000000080
3.605622,A,0x051,3,27630A
3.605748,A,0x239,8,0000647D7D7DF0B0
3.605868,A,0x34B,6,FEFEFEFEFE01
3.605890,B,0x400,7,00E0FBBEEFFB00
3.605896,B,0x6E8,8,783F002900000000
3.605902,B,0x393,8,060015A108201920
3.606501,A,0x38B,5,FEFEFEFEFE
3.606626,A,0x370,8,91FF080420152367
3.606745,A,0x39D,5,235A012800
3.606857,A,0x240,2,BB79
3.606877,B,0x39D,5,235A012800
3.608447,A,0x257,8,72481F0002A00F01
3.608496,B,0x448,6,000010100000
3.609715,A,0x25D,6,0000FE004000
3.609768,B,0x2A8,8,029100000E8030FB
3.610978,A,0x2E8,8,021100000E8020AB
3.614435,A,0x052,8,91FF080320142365
3.614584,A,0x383,8,60FCFF020000C03A
3.615551,A,0x031,3,0E5302
3.615684,A,0x051,3,DE640A
3.615815,A,0x340,8,0200000010000000
3.615861,B,0x132,6,A28CF1FF1B40
3.615868,B,0x344,8,0000000000004087
3.615874,B,0x401,8,102A56825C825B82
3.615879,B,0x554,7,D4245D151CC000
3.615884,B,0x6D4,8,0D000000CB732D37
3.615890,B,0x1FA,3,000000
3.615896,B,0x118,8,F360320000480000
3.615901,B,0x2C1,8,212B0D0A02000000
3.615907,B,0x1D8,8,2900000000004042
3.615913,B,0x20C,8,8E383616BE80180A
3.615918,B,0x266,8,0000012200008801
3.615924,B,0x2E1,8,396D3FB21F291800
3.615930,B,0x129,8,D2211C200020FF3F
3.617482,B,0x1E5,8,02AC0400000040D8
3.618181,B,0x386,8,0000000000000000
